date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:24	84/84	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Jan%202025%2017:10:38%20GMT	https://www.guts.agency/robots.txt		(from )
00:59:24	58578/58578	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2017:41:25%20GMT	https://www.guts.agency/	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/index.html	(from )
00:59:24	420354/420354	---M-Z	200	added ('OK')	text/css	etag:%228ac9b65c3f23419e86bef31fb96ffbf8%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/css/guts-agency.webflow.4d95eafa4.css	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/css/guts-agency.webflow.4d95eafa4.css	(from https://www.guts.agency/)
00:59:24	883/883	---M--	200	added ('OK')	image/png	etag:%22cf5b818b555dbd120cc47d9be9641517%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/629928ba2c8aa362a0d4c4de_Frame%204809543032.png	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/629928ba2c8aa362a0d4c4de_Frame%204809543032.png	(from https://www.guts.agency/)
00:59:25	6305/6305	---M--	200	added ('OK')	image/png	etag:%22ddb2455b50200c3cc6846cffd2f5a668%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/629928bcb7e9b66288d59b13_Frame%2048095430256.png	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/629928bcb7e9b66288d59b13_Frame%2048095430256.png	(from https://www.guts.agency/)
00:59:25	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2017%20Jan%202025%2019:29:27%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/ABHIRAM/Desktop/archa/archa/www.googletagmanager.com/gtm.35445.delayed	(from https://www.guts.agency/)
00:59:26	29614/29614	---M-Z	200	added ('OK')	application/javascript	etag:W/%2273ae-nwFPCwd3UXiTZ7YuAXjbCNGDpOw%22	https://cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	(from https://www.guts.agency/)
00:59:26	70/70	---MC-	200	added ('OK')	image/png	date:Fri,%2017%20Jan%202025%2019:29:28%20GMT	https://tracker.metricool.com/c3po.jpg?hash=43a7fb3f781660a9ca2c0568c148676b	C:/Users/ABHIRAM/Desktop/archa/archa/tracker.metricool.com/c3po2bfb.png	(from https://www.guts.agency/)
00:59:26	49405/49405	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2022:50:22%20GMT	https://www.guts.agency/about	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/about.html	(from https://www.guts.agency/)
00:59:27	72947/72947	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2020:35:36%20GMT	https://www.guts.agency/works	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/works.html	(from https://www.guts.agency/)
00:59:27	69288/69288	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2022:50:42%20GMT	https://www.guts.agency/services	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/services.html	(from https://www.guts.agency/)
00:59:28	33115/33115	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2022:50:11%20GMT	https://www.guts.agency/brains	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/brains.html	(from https://www.guts.agency/)
00:59:28	24511/24511	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2022:52:24%20GMT	https://www.guts.agency/contact	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/contact.html	(from https://www.guts.agency/)
00:59:29	17502/17502	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22dc013ec00b7aa04fc934d03242095079%22	https://www.guts.agency/subscribe-mobile	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/subscribe-mobile.b.delayed	(from https://www.guts.agency/)
00:59:29	33105/33105	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2006:52:48%20GMT	https://www.guts.agency/works/google-cloud	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/works/google-cloud.html	(from https://www.guts.agency/)
00:59:29	2180029/2180029	---M--	200	added ('OK')	image/jpeg	etag:%22b0afb4b882f7c16d787b26b6e6c27c5d%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/6356372a1bb1a23270e5c32d_google%20wide.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/6356372a1bb1a23270e5c32d_google%20wide.jpg	(from https://www.guts.agency/)
00:59:29	32706/32706	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202025%2022:30:17%20GMT	https://www.guts.agency/works/forsight	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/works/forsight.html	(from https://www.guts.agency/)
00:59:30	2867801/2867801	---M--	200	added ('OK')	image/jpeg	etag:%228f278634b4127de62689471c6632b20a%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62f8c7f4992cf4c409ddb7fa_Google%20thumbnail2.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62f8c7f4992cf4c409ddb7fa_Google%20thumbnail2.jpg	(from https://www.guts.agency/)
00:59:30	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2017%20Jan%202025%2019:29:31%20GMT	https://www.guts.agency/works/xtend	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/works/xtend	(from https://www.guts.agency/)
00:59:30	816260/816260	---M--	200	added ('OK')	image/jpeg	etag:%2213449675e451e718427486c41ad4aaa1%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e136b08c1c3a586a151e36_Xtend%20Thumbnail.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e136b08c1c3a586a151e36_Xtend%20Thumbnail.jpg	(from https://www.guts.agency/)
00:59:30	41318/41318	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2017:59:25%20GMT	https://www.guts.agency/works/fair	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/works/fair.html	(from https://www.guts.agency/)
00:59:31	974025/974025	---M--	200	added ('OK')	image/jpeg	etag:%2209cf7e4bcf0f64682e112e9335388b03%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e136b0b0ab6efeda8bdb94_Fair%20Thumbnail.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e136b0b0ab6efeda8bdb94_Fair%20Thumbnail.jpg	(from https://www.guts.agency/)
00:59:31	32868/32868	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2009:45:12%20GMT	https://www.guts.agency/works/brilliant	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/works/brilliant.html	(from https://www.guts.agency/)
00:59:31	1109190/1109190	---M--	200	added ('OK')	image/jpeg	etag:%22b7edf439369362d437eda000aa7c60c6%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e136b04aea863d87914b17_Playtika%20Thumbnail.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e136b04aea863d87914b17_Playtika%20Thumbnail.jpg	(from https://www.guts.agency/)
00:59:31	41019/41019	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2013:11:15%20GMT	https://www.guts.agency/works/slice	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/works/slice.html	(from https://www.guts.agency/)
00:59:32	28972/28972	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2008:36:28%20GMT	https://www.guts.agency/works/predicta-med	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/works/predicta-med.html	(from https://www.guts.agency/)
00:59:32	889928/889928	---M--	200	added ('OK')	image/jpeg	etag:%229922e11b1663f621f92bd4afa610b57d%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62fba17c8fef3b23f387fe8e_nanox%20home.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62fba17c8fef3b23f387fe8e_nanox%20home.jpg	(from https://www.guts.agency/)
00:59:32	29256/29256	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jan%202025%2009:45:07%20GMT	https://www.guts.agency/works/atidot	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/works/atidot.html	(from https://www.guts.agency/)
00:59:32	1370061/1370061	---M--	200	added ('OK')	image/jpeg	etag:%22f360fff0a15a1a8e30f2e8ce77a67504%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e136b0397eadb0a645b357_Predicta%20Thumbnail.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e136b0397eadb0a645b357_Predicta%20Thumbnail.jpg	(from https://www.guts.agency/)
00:59:32	182788/182788	---M--	200	added ('OK')	image/jpeg	etag:%2239e5bd43171fe00cf90989df2a954d81%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62fba17cdbb3098eb68be874_atidot%20home.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62fba17cdbb3098eb68be874_atidot%20home.jpg	(from https://www.guts.agency/)
00:59:33	255898/255898	---M--	200	added ('OK')	image/jpeg	etag:%22f0a7b22db3ae8589d4211587ad810e7c%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e14388da2667fcfe111245_m%20google%20Thumbnail.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e14388da2667fcfe111245_m%20google%20Thumbnail.jpg	(from https://www.guts.agency/)
00:59:33	157348/157348	---M--	200	added ('OK')	image/jpeg	etag:%22e74ce84d705815138d8a23a8b535129a%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e1438856396d987ea60341_m%20Fair%20Thumbnail.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e1438856396d987ea60341_m%20Fair%20Thumbnail.jpg	(from https://www.guts.agency/)
00:59:33	135207/135207	---M--	200	added ('OK')	image/jpeg	etag:%226f2e72d2eb97e978dd2be6168a1aa07d%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e1438847918b782ce31db5_m%20playtika%20Thumbnail.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e1438847918b782ce31db5_m%20playtika%20Thumbnail.jpg	(from https://www.guts.agency/)
00:59:33	133518/133518	---M--	200	added ('OK')	image/jpeg	etag:%22e6d4cad9366b3857eee835add71b052b%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e143895da41e37e81b781c_m%20xtend%20Thumbnail.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e143895da41e37e81b781c_m%20xtend%20Thumbnail.jpg	(from https://www.guts.agency/)
00:59:34	227124/227124	---M--	200	added ('OK')	image/jpeg	etag:%22eb80894241b7a13ee69e28886c64efad%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62fba46aafcafb40072f8485_nanox%20mobile.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62fba46aafcafb40072f8485_nanox%20mobile.jpg	(from https://www.guts.agency/)
00:59:34	204368/204368	---M--	200	added ('OK')	image/jpeg	etag:%22176cb2d5d98fa68481e15690d1d90e88%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e14388dde142822a8a6658_m%20predicta%20Thumbnail.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e14388dde142822a8a6658_m%20predicta%20Thumbnail.jpg	(from https://www.guts.agency/)
00:59:34	142709/142709	---M--	200	added ('OK')	image/jpeg	etag:%22f3356a0e3b5e50aa53017b027ea16fd2%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e143883bb199b3abd311b3_m%20HP%20Thumbnail.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e143883bb199b3abd311b3_m%20HP%20Thumbnail.jpg	(from https://www.guts.agency/)
00:59:34	56953/56953	---M--	200	added ('OK')	image/jpeg	etag:%22996c7bc5139944d16159c4a08e0050aa%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e1438822699ea97f128b4f_m%20atidot%20Thumbnail.jpg	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/62e1438822699ea97f128b4f_m%20atidot%20Thumbnail.jpg	(from https://www.guts.agency/)
00:59:35	24680/24680	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2021:56:24%20GMT	https://www.guts.agency/privacy	C:/Users/ABHIRAM/Desktop/archa/archa/www.guts.agency/privacy.html	(from https://www.guts.agency/)
00:59:35	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=6285e77eaf03d3b5e63ee110	C:/Users/ABHIRAM/Desktop/archa/archa/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c84b06.js	(from https://www.guts.agency/)
00:59:35	895571/895571	---MCZ	200	added ('OK')	text/javascript	etag:W/%228beb16c846a2f5a3716b4fa1a1a8235b%22	https://cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/js/webflow.ef06087fe512142e3073e3571da7f608.js	C:/Users/ABHIRAM/Desktop/archa/archa/cdn.prod.website-files.com/6285e77eaf03d3b5e63ee110/js/webflow.ef06087fe512142e3073e3571da7f608.js	(from https://www.guts.agency/)
00:59:36	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:%225eb09ed3-11abc%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.5.1/jquery.slim.min.js	C:/Users/ABHIRAM/Desktop/archa/archa/cdnjs.cloudflare.com/ajax/libs/jquery/3.5.1/jquery.slim.min.js	(from https://www.guts.agency/)
